Nom,Lien Gmaps,Ville,Étiquettes,Téléphone,Site web,Adresse,Google types,Long,Lat
Plage Du Souffleur,https://maps.google.com/?cid=1427806328252600980,Port-Louis,"plage, yinyin",0690 12 22 22,http://www.paysguadeloupe.com/,"Plage Du Souffleur, Rue du Souffleur, Port-Louis 97117, Guadeloupe","establishment, natural_feature",-61.5332644,16.422876800000004
Plage de la Datcha,https://maps.google.com/?cid=15594651650606020771,,"natation, plage",,,"Plage de la Datcha, Guadeloupe","establishment, natural_feature",-61.4955395,16.204578599999998
Plage de Malendure,https://maps.google.com/?cid=9314443827536584393,Bouillante,"plage, snorkeling, tortues",0590 98 82 43,,"Malendure 97125, Bouillante 97125, Guadeloupe","establishment, natural_feature",-61.776848199999996,16.172398599999998
Plage de Babin,https://maps.google.com/?cid=14251679079286330450,,"plage, sunset, yinyin",,,"Plage de Babin, Guadeloupe","establishment, natural_feature",-61.5274954,16.340322600000004
Anse à l'Eau,https://maps.google.com/?cid=3773991727273337773,Saint-François,"plage, sargasses",,,"Anse à l'Eau, Saint-François 97118, Guadeloupe","establishment, natural_feature",-61.267297299999996,16.3034995
SAFAR Coffee Shop,https://maps.google.com/?cid=14429822276993675749,Le Gosier,"brunch, restaurant",,https://instagram.com/safar_coffee_shop?igshid=MzRlODBiNWFlZA==,"Espace Boukarou, Rte De Montauban, Le Gosier 97190, Guadeloupe","brunch_restaurant, cafe, coffee_shop, establishment, food, point_of_interest, restaurant, store",-61.5027666,16.215086499999998
Plage de Grande Anse,https://maps.google.com/?cid=2848851391787584517,Deshaies,plage,0590 22 28 50,,"Plage de Grande Anse, Deshaies 97126, Guadeloupe",route,-61.7880562,16.3215507
Plage du bourg,https://maps.google.com/?cid=4260196941623435370,Sainte-Anne,plage,,,"6JF9+3CF, Sainte-Anne 97180, Guadeloupe","establishment, point_of_interest",-61.381443499999996,16.2226823
Beach of Petit-Havre,https://maps.google.com/?cid=9175657501690813789,Le Gosier,"plage, surf",,,"Beach of Petit-Havre, Le Gosier 97190, Guadeloupe","establishment, natural_feature",-61.4257273,16.2097141
Anse Vinaigri,https://maps.google.com/?cid=310808407895708108,,plage,,,"Anse Vinaigri, Guadeloupe","establishment, natural_feature",-61.469632600000004,16.1988074
Plage de Bois Jolan,https://maps.google.com/?cid=11424897249635216745,Sainte-Anne,plage,,,"Plage de Bois Jolan, Sainte-Anne 97180, Guadeloupe","establishment, natural_feature",-61.3491667,16.236388899999998
Anse de Nogent,https://maps.google.com/?cid=11046503278980937758,,"cap, plage",,,"Anse de Nogent, Guadeloupe","establishment, natural_feature",-61.7349125,16.358367299999998
Plage de Cluny,https://maps.google.com/?cid=3906957466857371177,,"plage, tortues",,,"Plage de Cluny, Guadeloupe","establishment, natural_feature",-61.75327660000001,16.353598299999998
Plage de la Perle,https://maps.google.com/?cid=9443085882577604185,Rifflet,plage,,,"Rifflet, 97126, 86RC+2JW, Voie du Sable d'Or, Rifflet 97126, Guadeloupe","establishment, point_of_interest, tourist_attraction",-61.7786403,16.3408196
CODE 809,https://maps.google.com/?cid=1408801863428300375,Pointe-à-Pitre,restaurant,0690 80 98 94,,"19 Rue Gilbert de Chambertrand, Pointe-à-Pitre 97110, Guadeloupe","establishment, food, point_of_interest, restaurant",-61.532810100000006,16.2374412
An chodyè la,https://maps.google.com/?cid=7832825877125440107,Pointe-à-Pitre,"restaurant, soupe",0590 82 59 72,,"59 Rue Général de Chambertrand, Pointe-à-Pitre 97110, Guadeloupe","establishment, food, point_of_interest, restaurant",-61.53229679999999,16.238546499999998
Casa Datcha,https://maps.google.com/?cid=7907327290648744769,Le Gosier,"brunch, restaurant",0590 90 96 24,http://www.casadatcha.com/,"Plage de la Datcha, Le Gosier 97190, Guadeloupe","bar, establishment, food, point_of_interest, restaurant",-61.49434110000001,16.2047851
"16°12'53.6""N 61°37'29.1""W",,,,,,,,,
